hidden_dim,模型,方式,λ,γ,τ,扫描λ,λ偏差%,扫描γ,γ偏差%,扫描τ,τ偏差%,判定
896,Qwen2.5-0.5B,推荐,0.5,0.05,0.1,0.5,0.0,0.05,0.0,0.1,0.0,达标(<30%)
896,Qwen2.5-0.5B,公式,0.5,0.05,0.1,0.5,0.0,0.05,0.0,0.1,0.0,达标(<30%)
1536,Qwen2.5-1.5B,推荐,0.08,0.07,0.09,0.08,0.0,0.07,0.0,0.09,0.0,达标(<30%)
1536,Qwen2.5-1.5B,公式,0.2228,0.0655,0.0764,0.08,178.5,0.07,6.43,0.09,15.11,超标(λ178.5% γ6.4% τ15.1%)
2048,Qwen2.5-3B,推荐,0.1,0.08,0.06,0.1,0.0,0.08,0.0,0.06,0.0,达标(<30%)
2048,Qwen2.5-3B,公式,0.1225,0.0756,0.0661,0.1,22.5,0.08,5.5,0.06,10.17,达标(<30%)
3584,Qwen2.5-7B,推荐,0.06,0.12,0.05,0.06,0.0,0.12,0.0,0.05,0.0,达标(<30%)
3584,Qwen2.5-7B,公式,0.07,0.1,0.05,0.06,16.67,0.12,16.67,0.05,0.0,达标(<30%)
